category_name,category_id
Computers&Accessories|Accessories&Peripherals|PCGamingPeripherals|Gamepads,86
OfficeProducts|OfficeElectronics|Calculators|Basic,87
Computers&Accessories|Accessories&Peripherals|USBHubs,88
Computers&Accessories|Accessories&Peripherals|Audio&VideoAccessories|PCMicrophones,89
Electronics|HomeAudio|Speakers|OutdoorSpeakers,90
Computers&Accessories|Accessories&Peripherals|LaptopAccessories|Bags&Sleeves|LaptopSleeves&Slipcases,91
Computers&Accessories|ExternalDevices&DataStorage|ExternalMemoryCardReaders,92
"OfficeProducts|OfficePaperProducts|Paper|Stationery|Pens,Pencils&WritingSupplies|Pens&Refills|BottledInk",93
"OfficeProducts|OfficePaperProducts|Paper|Stationery|Notebooks,WritingPads&Diaries|CompositionNotebooks",94
"OfficeProducts|OfficePaperProducts|Paper|Stationery|Pens,Pencils&WritingSupplies|Pens&Refills|RetractableBallpointPens",95
Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|EthernetCables,96
Computers&Accessories|Components|Memory,97
Computers&Accessories|Accessories&Peripherals|UninterruptedPowerSupplies,98
"Electronics|Headphones,Earbuds&Accessories|Cases",99
Electronics|Accessories|MemoryCards|SecureDigitalCards,100
Electronics|Mobiles&Accessories|MobileAccessories|Photo&VideoAccessories|Flashes&SelfieLights|SelfieLights,101
Computers&Accessories|Accessories&Peripherals|Audio&VideoAccessories|Webcams&VoIPEquipment|Webcams,102
Computers&Accessories|Accessories&Peripherals|LaptopAccessories|CoolingPads,103
Computers&Accessories|Accessories&Peripherals|LaptopAccessories,104
Computers&Accessories|Accessories&Peripherals|TabletAccessories|Stands,105
HomeImprovement|Electrical|Adapters&Multi-Outlets,106
OfficeProducts|OfficePaperProducts|Paper|Copy&PrintingPaper|ColouredPaper,107
Computers&Accessories|Components|InternalSolidStateDrives,108
Electronics|HomeAudio|Speakers|MultimediaSpeakerSystems,109
Computers&Accessories|NetworkingDevices|DataCards&Dongles,110
Computers&Accessories|Accessories&Peripherals|LaptopAccessories|LaptopChargers&PowerSupplies,111
Computers&Accessories|Accessories&Peripherals|Audio&VideoAccessories|PCSpeakers,112
Electronics|Cameras&Photography|Accessories|Batteries&Chargers|BatteryChargers,113
"Computers&Accessories|Accessories&Peripherals|TabletAccessories|Bags,Cases&Sleeves|Cases",114
"OfficeProducts|OfficePaperProducts|Paper|Stationery|Pens,Pencils&WritingSupplies|Pens&Refills|StickBallpointPens",115
Home&Kitchen|CraftMaterials|DrawingMaterials|DrawingMedia|Pencils|WoodenPencils,116
Computers&Accessories|Components|InternalHardDrives,117
"Computers&Accessories|Printers,Inks&Accessories|Printers",118
Home&Kitchen|CraftMaterials|DrawingMaterials|DrawingMedia|Pens,119
Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|SATACables,120
Computers&Accessories|Accessories&Peripherals|Audio&VideoAccessories|PCHeadsets,121
Computers&Accessories|Accessories&Peripherals|PCGamingPeripherals|GamingKeyboards,122
Electronics|HomeAudio|Speakers|SoundbarSpeakers,123
"Electronics|Headphones,Earbuds&Accessories|Earpads",124
"Computers&Accessories|Printers,Inks&Accessories|Printers|InkjetPrinters",125
Toys&Games|Arts&Crafts|Drawing&PaintingSupplies|ColouringPens&Markers,126
Computers&Accessories|Accessories&Peripherals|PCGamingPeripherals|Headsets,127
Computers&Accessories|ExternalDevices&DataStorage|ExternalSolidStateDrives,128
Computers&Accessories|NetworkingDevices|NetworkAdapters|PowerLANAdapters,129
"Computers&Accessories|Printers,Inks&Accessories|Inks,Toners&Cartridges|InkjetInkRefills&Kits",130
"OfficeProducts|OfficePaperProducts|Paper|Stationery|Notebooks,WritingPads&Diaries",131
Electronics|Cameras&Photography|Accessories|PhotoStudio&Lighting|PhotoBackgroundAccessories|BackgroundSupports,132
OfficeProducts|OfficeElectronics|Calculators|Financial&Business,133
Electronics|PowerAccessories|SurgeProtectors,134
Computers&Accessories|Tablets,135
HomeImprovement|Electrical|CordManagement,136
Home&Kitchen|CraftMaterials|PaintingMaterials,137
"Computers&Accessories|Printers,Inks&Accessories|Inks,Toners&Cartridges|TonerCartridges",138
"OfficeProducts|OfficePaperProducts|Paper|Stationery|Pens,Pencils&WritingSupplies|Pens&Refills|LiquidInkRollerballPens",139
"OfficeProducts|OfficePaperProducts|Paper|Stationery|Pens,Pencils&WritingSupplies|Pens&Refills|FountainPens",140
Computers&Accessories|Accessories&Peripherals|HardDriveAccessories|Caddies,141
Computers&Accessories|Laptops|TraditionalLaptops,142
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|Kettles&HotWaterDispensers|ElectricKettles,143
"Home&Kitchen|Heating,Cooling&AirQuality|RoomHeaters|ElectricHeaters",144
"Home&Kitchen|Heating,Cooling&AirQuality|RoomHeaters|FanHeaters",145
"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Irons,Steamers&Accessories|LintShavers",146
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|DigitalKitchenScales,147
